web_scraper_order,web_scraper_start_url,data,data2,data3,image
"1786124408-25","https://sawa9ly.app/wishlist","Ensemble Thermos avec 3 tasses thermique 500ml en acier inoxydable","2,050 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/9639/878xc654c3w232d656d5d-1.jpg"
"1786124408-26","https://sawa9ly.app/wishlist","Porte Manteau Piano en Bois 7 crochet Design Moderne NATURE-MARRON","1,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/9745/BIODECOR-7_qz95-r9.jpg"
"1786124408-27","https://sawa9ly.app/wishlist","Chauffe-biberon Portable USB pour bébé  سخان زجاجات الأطفال المحمول USB","1,950 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/9966/S8a753b5eacfe4b938c77f4ced90e563dS.png"
"1786124408-28","https://sawa9ly.app/wishlist","Boule d'équilibre de bureau à mouvement perpétuel,décor anti-stress","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/10123/dfdfsf00000sds.jpg"
"1786124408-29","https://sawa9ly.app/wishlist","figurine de Dessin Animé  Naruto shippuden","1,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/12286/photo1703694399.jpeg"
"1786124408-30","https://sawa9ly.app/wishlist","Réchaud à gaz de camping allumage automatique","4,100 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/23476/rechaud-gaz.jpg"
"1786124408-31","https://sawa9ly.app/wishlist","MACHINE À CAFÉ CAPSULES L'OR BARISTA ROUGE - PHILIPS","23,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/12557/machine-a-cafe-capsules-l-or-barista-rouge-philips-lm901250.jpg"
"1786124408-32","https://sawa9ly.app/wishlist","طقم 4 كتب لتعليم الأطفال , كتابة الحروف , الأرقام , العمليات الحسابية , الرسم MAGIC BOOK","1,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/12738/book---4-Pcs-Reusable-Copy-Book-Writing-Groove-Arabic-Alphabet-Wordpad-For-Kids-Word-Children's-Book-Calligraphic-Practice-Toy-(4-Arabic-Books)-0.jpg"
"1786124408-33","https://sawa9ly.app/wishlist","Panier de pique-nique a isolation thermique pliable portable avec couvercle et poignée en aluminium","2,000 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/13116/Panier-picnic-1-600x600.jpg"
"1786124408-34","https://sawa9ly.app/wishlist","Scie à Arc Scie Manuelle Réglable Professionnelle Pvc Bois Fer 3 Fonctions De Réglage","1,250 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/13445/S875fe9c383aa4a37a605ff507a187ab8z.png"
"1786124408-35","https://sawa9ly.app/wishlist","Bouilloire électrique pliable en silicone ,portable Avec  indicateur de mise hors tension غلاية كهربائية قابلة للطي محمولة سيليكون","2,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/31130/bouloire54d87s-1.jpg"
"1786124408-36","https://sawa9ly.app/wishlist","Eminem Ensemble de cuisine 5 Pcs en verre pour épices et huiles","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/13945/Eminem-5-Parca-Mutfak-Seti-1003383dsfsdf.jpg"
